OBJECTID,GEOID,PopWhite,PopBlack,FID_,GEOID,NAME,GEOID_Data
21099,14000US17031010100,2005,2467,,17031010100,101,14000US17031010100
21100,14000US17031010201,2404,3141,,17031010201,102.01,14000US17031010201
21101,14000US17031010202,1316,892,,17031010202,102.02,14000US17031010202
21102,14000US17031010300,3266,1675,,17031010300,103,14000US17031010300
21103,14000US17031010400,3308,694,,17031010400,104,14000US17031010400
21104,14000US17031010501,2188,1480,,17031010501,105.01,14000US17031010501
21105,14000US17031010502,2423,606,,17031010502,105.02,14000US17031010502
21106,14000US17031010503,1467,243,,17031010503,105.03,14000US17031010503
21107,14000US17031010600,3327,2503,,17031010600,106,14000US17031010600
21108,14000US17031010701,2356,717,,17031010701,107.01,14000US17031010701
21109,14000US17031010702,2892,1236,,17031010702,107.02,14000US17031010702
21110,14000US17031020100,1840,1338,,17031020100,201,14000US17031020100
21111,14000US17031020200,4058,1133,,17031020200,202,14000US17031020200
21112,14000US17031020301,4211,278,,17031020301,203.01,14000US17031020301
21113,14000US17031020302,3164,310,,17031020302,203.02,14000US17031020302
21114,14000US17031020400,2479,716,,17031020400,204,14000US17031020400
21115,14000US17031020500,2611,1093,,17031020500,205,14000US17031020500
21116,14000US17031020601,4356,149,,17031020601,206.01,14000US17031020601
21117,14000US17031020602,1470,397,,17031020602,206.02,14000US17031020602
21118,14000US17031020701,1314,135,,17031020701,207.01,14000US17031020701
21119,14000US17031020702,3788,123,,17031020702,207.02,14000US17031020702
21120,14000US17031020801,3517,265,,17031020801,208.01,14000US17031020801
21121,14000US17031020802,2874,723,,17031020802,208.02,14000US17031020802
21122,14000US17031020901,2393,826,,17031020901,209.01,14000US17031020901
21123,14000US17031020902,2454,824,,17031020902,209.02,14000US17031020902
21124,14000US17031030101,2325,735,,17031030101,301.01,14000US17031030101
21125,14000US17031030102,1715,758,,17031030102,301.02,14000US17031030102
21126,14000US17031030103,1250,415,,17031030103,301.03,14000US17031030103
21127,14000US17031030104,2031,708,,17031030104,301.04,14000US17031030104
21128,14000US17031030200,4539,545,,17031030200,302,14000US17031030200
21129,14000US17031030300,1726,398,,17031030300,303,14000US17031030300
21130,14000US17031030400,1727,187,,17031030400,304,14000US17031030400
21131,14000US17031030500,4588,637,,17031030500,305,14000US17031030500
21132,14000US17031030601,1862,823,,17031030601,306.01,14000US17031030601
21133,14000US17031030603,935,772,,17031030603,306.03,14000US17031030603
21134,14000US17031030604,1438,528,,17031030604,306.04,14000US17031030604
21135,14000US17031030701,909,450,,17031030701,307.01,14000US17031030701
21136,14000US17031030702,1094,21,,17031030702,307.02,14000US17031030702
21137,14000US17031030703,1921,542,,17031030703,307.03,14000US17031030703
21138,14000US17031030706,1963,593,,17031030706,307.06,14000US17031030706
21139,14000US17031030800,3095,123,,17031030800,308,14000US17031030800
21140,14000US17031030900,2253,43,,17031030900,309,14000US17031030900
21141,14000US17031031000,2377,153,,17031031000,310,14000US17031031000
21142,14000US17031031100,2569,350,,17031031100,311,14000US17031031100
21143,14000US17031031200,2386,1658,,17031031200,312,14000US17031031200
21144,14000US17031031300,3103,1968,,17031031300,313,14000US17031031300
21145,14000US17031031400,4238,345,,17031031400,314,14000US17031031400
21146,14000US17031031501,1376,1052,,17031031501,315.01,14000US17031031501
21147,14000US17031031502,1975,2419,,17031031502,315.02,14000US17031031502
21148,14000US17031031700,4391,1347,,17031031700,317,14000US17031031700
21149,14000US17031031800,1655,17,,17031031800,318,14000US17031031800
21150,14000US17031031900,1841,166,,17031031900,319,14000US17031031900
21151,14000US17031032100,5012,897,,17031032100,321,14000US17031032100
21152,14000US17031040100,3013,360,,17031040100,401,14000US17031040100
21153,14000US17031040201,4580,85,,17031040201,402.01,14000US17031040201
21154,14000US17031040202,4029,704,,17031040202,402.02,14000US17031040202
21155,14000US17031040300,1418,205,,17031040300,403,14000US17031040300
21156,14000US17031040401,2169,90,,17031040401,404.01,14000US17031040401
