GEOID,NAME,KWH_TOT_SQ,THRMS_TOT_,TOT_POP,AVGBLDGAGE
170318368001015,Block 1015,0.0,0.0,0.0,0.0
170318368001014,Block 1014,0.0,0.0,0.0,0.0
170312409001003,Block 1003,0.0,0.0,0.0,0.0
170310701013005,Block 3005,0.0,0.0,0.0,0.0
170318307001001,Block 1001,0.0,0.0,0.0,0.0
170318422001020,Block 1020,0.0,0.0,0.0,0.0
170310701013008,Block 3008,0.0,0.0,0.0,0.0
170318422001019,Block 1019,0.0,0.0,0.0,0.0
170310314004001,Block 4001,0.0,0.0,0.0,0.0
170310715003008,Block 3008,0.0,0.0,0.0,0.0
170310714002008,Block 2008,0.0,0.0,0.0,0.0
170310632004001,Block 4001,0.0,0.0,0.0,0.0
170310619023002,Block 3002,0.0,0.0,0.0,0.0
170310609002006,Block 2006,0.0,0.0,0.0,0.0
170312409001009,Block 1009,0.0,0.0,0.0,0.0
170310632004000,Block 4000,0.0,0.0,0.0,0.0
170310619023000,Block 3000,0.0,0.0,0.0,0.0
170310609002000,Block 2000,0.0,0.0,0.0,0.0
170310608002000,Block 2000,0.0,0.0,0.0,0.0
170310314004000,Block 4000,0.0,0.0,0.0,0.0
170319900000004,Block 0004,0.0,0.0,0.0,0.0
170318422001021,Block 1021,0.0,0.0,0.0,0.0
170310715003004,Block 3004,0.0,0.0,0.0,0.0
170310818002024,Block 2024,0.0,0.0,0.0,0.0
170310502001005,Block 1005,0.0,0.0,0.0,0.0
170312518005003,Block 5003,0.0,0.0,0.0,0.0
170310505001009,Block 1009,37630.0,37496.0,81.0,90.4100037
170310715001010,Block 1010,0.0,0.0,0.0,0.0
170312207011009,Block 1009,6760.0,6760.0,32.0,47.5
170310629002002,Block 2002,0.0,0.0,0.0,0.0
170318368001010,Block 1010,0.0,0.0,0.0,0.0
170312432001001,Block 1001,21200.0,14500.0,28.0,86.8799973
170310702002001,Block 2001,5050.0,5050.0,143.0,60.5
170311909001007,Block 1007,0.0,0.0,0.0,0.0
170312109001036,Block 1036,8892.0,8892.0,73.0,86.0
170312411001002,Block 1002,0.0,0.0,0.0,0.0
170318309001034,Block 1034,0.0,0.0,0.0,0.0
170311610002014,Block 2014,16699.0,16699.0,33.0,98.6699982
170318309003016,Block 3016,0.0,0.0,0.0,0.0
170311908005003,Block 5003,3338.0,3338.0,72.0,81.0
170318312002012,Block 2012,39862.0,39862.0,166.0,87.7300034
170311603002005,Block 2005,7521.0,7521.0,46.0,82.0
170311912002014,Block 2014,12819.0,12151.0,32.0,80.0
170312425002007,Block 2007,5111.0,5111.0,0.0,0.0
170318370002002,Block 2002,2080.0,3745.0,82.0,0.0
170318311004000,Block 4000,31308.0,33726.0,185.0,78.3099976
170312808001002,Block 1002,23279.0,23279.0,0.0,3.1700001
170318311002011,Block 2011,1044.0,1044.0,106.0,118.0
170312402001017,Block 1017,0.0,0.0,0.0,0.0
170312304002002,Block 2002,0.0,0.0,0.0,0.0
170318330002024,Block 2024,0.0,0.0,0.0,0.0
170312434003019,Block 3019,1656.0,1656.0,15.0,5.0
170310712001004,Block 1004,6231.0,0.0,40.0,0.0
170318423002051,Block 2051,59303.0,59303.0,0.0,0.0
170310601002010,Block 2010,49451.0,42411.0,124.0,46.5699997
170318437001009,Block 1009,3400.0,3400.0,43.0,65.0
170312312004002,Block 4002,11358.0,11358.0,37.0,103.8000031
170311902003014,Block 3014,0.0,2416.0,97.0,86.0
170312226001026,Block 1026,25077.0,25077.0,111.0,94.0
170310502003007,Block 3007,5647.0,5647.0,95.0,73.3300018
170312205002010,Block 2010,24823.0,24823.0,0.0,0.0
170312519002025,Block 2025,9447.0,9447.0,51.0,88.0
170312801001038,Block 1038,0.0,0.0,0.0,0.0
170312403001009,Block 1009,2814.0,2814.0,31.0,108.0
170312105011015,Block 1015,10168.0,10168.0,5.0,88.0
170318422001009,Block 1009,0.0,0.0,0.0,0.0
170312510001010,Block 1010,0.0,0.0,0.0,0.0
170312405001007,Block 1007,23912.0,23912.0,147.0,58.0
170312424001009,Block 1009,6207.0,6207.0,89.0,98.0
170312205003006,Block 3006,4092.0,4092.0,43.0,103.0
170318371002013,Block 2013,0.0,0.0,0.0,0.0
170312435001036,Block 1036,0.0,0.0,0.0,0.0
170312216001032,Block 1032,7171.0,8456.0,0.0,113.5999985
170312414001002,Block 1002,3618.0,3618.0,20.0,0.0
170312424002018,Block 2018,6087.0,6087.0,94.0,98.0
170312406001002,Block 1002,0.0,0.0,0.0,0.0
170311508003003,Block 3003,2088.0,2088.0,113.0,93.0
170312002002016,Block 2016,5562.0,5562.0,96.0,0.0
170311606023004,Block 3004,8788.0,8788.0,173.0,83.0
170318437002026,Block 2026,50322.0,9922.0,35.0,68.3300018
170312105012015,Block 2015,27062.0,27062.0,175.0,81.5
170312808001010,Block 1010,0.0,0.0,0.0,0.0
170312420003003,Block 3003,13590.0,13616.0,8.0,70.3300018
170311608002013,Block 2013,9755.0,9755.0,27.0,97.0
170312420001002,Block 1002,4600.0,4600.0,193.0,117.0
170310706002024,Block 2024,6738.0,6738.0,76.0,76.6699982
170312507003014,Block 3014,22858.0,22358.0,85.0,36.0
170312211002010,Block 2010,0.0,0.0,0.0,0.0
170318378001006,Block 1006,0.0,86240.0,0.0,0.0
170312216001015,Block 1015,6889.0,6889.0,48.0,114.5
170310502002030,Block 2030,6792.0,7992.0,53.0,65.3300018
170312604001006,Block 1006,8240.0,8240.0,42.0,114.6699982
170312516003010,Block 3010,8050.0,9418.0,69.0,95.0
170310623001018,Block 1018,4896.0,4896.0,9.0,0.0
170312107003023,Block 3023,14006.0,14006.0,92.0,91.8799973
170312714001004,Block 1004,4740.0,4740.0,55.0,0.0
170312305002005,Block 2005,5581.0,20781.0,0.0,8.5
170312819003015,Block 3015,0.0,0.0,0.0,0.0
170318326001010,Block 1010,4856.0,4856.0,74.0,12.0
170312403001011,Block 1011,3780.0,3780.0,20.0,119.0
170310710002011,Block 2011,46999.0,45873.0,69.0,114.6399994
