OBJECTID,GEOID,TotWorkers16over,SpeakSpanishWorkers,WorkAtHome,4pplusHH,16plusworkPoverty,16plusworkbelowpoverty,FID_,GEOID,NAME,GEOID_Data
21099,14000US17031010100,2397,274,162,468,,,,17031010100,101,14000US17031010100
21100,14000US17031010201,3232,708,110,549,,,,17031010201,102.01,14000US17031010201
21101,14000US17031010202,1138,267,56,100,,,,17031010202,102.02,14000US17031010202
21102,14000US17031010300,2983,355,151,299,,,,17031010300,103,14000US17031010300
21103,14000US17031010400,2508,292,186,173,,,,17031010400,104,14000US17031010400
21104,14000US17031010501,2345,128,246,145,,,,17031010501,105.01,14000US17031010501
21105,14000US17031010502,2245,287,122,309,,,,17031010502,105.02,14000US17031010502
21106,14000US17031010503,1025,130,13,107,,,,17031010503,105.03,14000US17031010503
21107,14000US17031010600,3949,864,259,525,,,,17031010600,106,14000US17031010600
21108,14000US17031010701,2262,759,162,386,,,,17031010701,107.01,14000US17031010701
21109,14000US17031010702,2977,1299,86,673,,,,17031010702,107.02,14000US17031010702
21110,14000US17031020100,1800,198,64,284,,,,17031020100,201,14000US17031020100
21111,14000US17031020200,2506,130,226,774,,,,17031020200,202,14000US17031020200
21112,14000US17031020301,1732,247,95,465,,,,17031020301,203.01,14000US17031020301
21113,14000US17031020302,2082,342,89,424,,,,17031020302,203.02,14000US17031020302
21114,14000US17031020400,2150,344,90,451,,,,17031020400,204,14000US17031020400
21115,14000US17031020500,2600,841,153,638,,,,17031020500,205,14000US17031020500
21116,14000US17031020601,2465,474,102,798,,,,17031020601,206.01,14000US17031020601
21117,14000US17031020602,1945,434,171,463,,,,17031020602,206.02,14000US17031020602
21118,14000US17031020701,872,43,30,183,,,,17031020701,207.01,14000US17031020701
21119,14000US17031020702,3222,376,25,783,,,,17031020702,207.02,14000US17031020702
21120,14000US17031020801,2757,700,58,428,,,,17031020801,208.01,14000US17031020801
21121,14000US17031020802,2937,662,13,889,,,,17031020802,208.02,14000US17031020802
21122,14000US17031020901,2625,886,183,582,,,,17031020901,209.01,14000US17031020901
21123,14000US17031020902,1851,280,23,473,,,,17031020902,209.02,14000US17031020902
21124,14000US17031030101,1967,421,117,170,,,,17031030101,301.01,14000US17031030101
21125,14000US17031030102,1646,115,2,40,,,,17031030102,301.02,14000US17031030102
21126,14000US17031030103,1018,231,0,14,,,,17031030103,301.03,14000US17031030103
21127,14000US17031030104,1232,75,100,38,,,,17031030104,301.04,14000US17031030104
21128,14000US17031030200,3249,384,223,276,,,,17031030200,302,14000US17031030200
21129,14000US17031030300,1549,464,47,226,,,,17031030300,303,14000US17031030300
21130,14000US17031030400,1320,373,66,144,,,,17031030400,304,14000US17031030400
21131,14000US17031030500,3958,881,221,453,,,,17031030500,305,14000US17031030500
21132,14000US17031030601,1899,134,48,89,,,,17031030601,306.01,14000US17031030601
21133,14000US17031030603,1215,79,14,89,,,,17031030603,306.03,14000US17031030603
21134,14000US17031030604,1890,29,146,73,,,,17031030604,306.04,14000US17031030604
21135,14000US17031030701,975,13,72,65,,,,17031030701,307.01,14000US17031030701
21136,14000US17031030702,802,20,39,36,,,,17031030702,307.02,14000US17031030702
21137,14000US17031030703,1405,81,149,100,,,,17031030703,307.03,14000US17031030703
21138,14000US17031030706,1802,242,86,64,,,,17031030706,307.06,14000US17031030706
21139,14000US17031030800,2662,74,226,238,,,,17031030800,308,14000US17031030800
21140,14000US17031030900,2098,239,206,161,,,,17031030900,309,14000US17031030900
21141,14000US17031031000,2464,386,148,118,,,,17031031000,310,14000US17031031000
21142,14000US17031031100,2800,399,242,173,,,,17031031100,311,14000US17031031100
21143,14000US17031031200,2448,400,115,268,,,,17031031200,312,14000US17031031200
21144,14000US17031031300,3310,195,159,292,,,,17031031300,313,14000US17031031300
21145,14000US17031031400,3631,424,245,92,,,,17031031400,314,14000US17031031400
21146,14000US17031031501,1801,280,123,134,,,,17031031501,315.01,14000US17031031501
21147,14000US17031031502,2527,338,83,341,,,,17031031502,315.02,14000US17031031502
21148,14000US17031031700,4077,482,404,253,,,,17031031700,317,14000US17031031700
21149,14000US17031031800,1164,238,58,93,,,,17031031800,318,14000US17031031800
21150,14000US17031031900,1601,51,54,98,,,,17031031900,319,14000US17031031900
21151,14000US17031032100,4070,166,387,160,,,,17031032100,321,14000US17031032100
21152,14000US17031040100,2057,267,137,273,,,,17031040100,401,14000US17031040100
21153,14000US17031040201,3437,598,133,288,,,,17031040201,402.01,14000US17031040201
21154,14000US17031040202,3592,499,139,479,,,,17031040202,402.02,14000US17031040202
21155,14000US17031040300,1119,159,78,193,,,,17031040300,403,14000US17031040300
21156,14000US17031040401,1749,317,79,273,,,,17031040401,404.01,14000US17031040401
21157,14000US17031040402,3057,440,116,157,,,,17031040402,404.02,14000US17031040402
21158,14000US17031040600,1801,313,156,135,,,,17031040600,406,14000US17031040600
21159,14000US17031040700,2159,423,148,112,,,,17031040700,407,14000US17031040700
21160,14000US17031040800,921,50,79,79,,,,17031040800,408,14000US17031040800
21161,14000US17031040900,1379,244,89,144,,,,17031040900,409,14000US17031040900
21162,14000US17031050100,1558,170,76,180,,,,17031050100,501,14000US17031050100
21163,14000US17031050200,2625,370,211,291,,,,17031050200,502,14000US17031050200
21164,14000US17031050300,1537,144,118,175,,,,17031050300,503,14000US17031050300
21165,14000US17031050500,3105,127,188,369,,,,17031050500,505,14000US17031050500
21166,14000US17031050600,1446,67,110,140,,,,17031050600,506,14000US17031050600
21167,14000US17031050700,1049,84,154,109,,,,17031050700,507,14000US17031050700
21168,14000US17031050800,809,47,142,111,,,,17031050800,508,14000US17031050800
21169,14000US17031050900,907,27,46,148,,,,17031050900,509,14000US17031050900
21170,14000US17031051000,1074,65,74,67,,,,17031051000,510,14000US17031051000
21171,14000US17031051100,1059,17,49,104,,,,17031051100,511,14000US17031051100
21172,14000US17031051200,1151,38,128,114,,,,17031051200,512,14000US17031051200
21173,14000US17031051300,1769,90,201,184,,,,17031051300,513,14000US17031051300
21174,14000US17031051400,1440,228,80,198,,,,17031051400,514,14000US17031051400
21175,14000US17031060100,1657,243,175,158,,,,17031060100,601,14000US17031060100
21176,14000US17031060200,1339,132,45,69,,,,17031060200,602,14000US17031060200
21177,14000US17031060300,2179,51,184,125,,,,17031060300,603,14000US17031060300
21178,14000US17031060400,2659,244,151,352,,,,17031060400,604,14000US17031060400
21179,14000US17031060500,642,26,97,51,,,,17031060500,605,14000US17031060500
21180,14000US17031060800,3470,280,87,131,,,,17031060800,608,14000US17031060800
21181,14000US17031060900,4654,346,155,179,,,,17031060900,609,14000US17031060900
21182,14000US17031061000,1243,72,93,65,,,,17031061000,610,14000US17031061000
21183,14000US17031061100,915,8,65,19,,,,17031061100,611,14000US17031061100
21184,14000US17031061200,1624,21,117,142,,,,17031061200,612,14000US17031061200
21185,14000US17031061500,1497,113,74,69,,,,17031061500,615,14000US17031061500
21186,14000US17031061800,786,38,66,8,,,,17031061800,618,14000US17031061800
21187,14000US17031061901,2808,197,159,101,,,,17031061901,619.01,14000US17031061901
