OBJECTID,GEOID,TotHhlds,FID_,GEOID,NAME,GEOID_Data
21099,14000US17031010100,2154,,17031010100,101,14000US17031010100
21100,14000US17031010201,2566,,17031010201,102.01,14000US17031010201
21101,14000US17031010202,1117,,17031010202,102.02,14000US17031010202
21102,14000US17031010300,2721,,17031010300,103,14000US17031010300
21103,14000US17031010400,2011,,17031010400,104,14000US17031010400
21104,14000US17031010501,2222,,17031010501,105.01,14000US17031010501
21105,14000US17031010502,1748,,17031010502,105.02,14000US17031010502
21106,14000US17031010503,1093,,17031010503,105.03,14000US17031010503
21107,14000US17031010600,2971,,17031010600,106,14000US17031010600
21108,14000US17031010701,1521,,17031010701,107.01,14000US17031010701
21109,14000US17031010702,1865,,17031010702,107.02,14000US17031010702
21110,14000US17031020100,1507,,17031020100,201,14000US17031020100
21111,14000US17031020200,1977,,17031020200,202,14000US17031020200
21112,14000US17031020301,1842,,17031020301,203.01,14000US17031020301
21113,14000US17031020302,1587,,17031020302,203.02,14000US17031020302
21114,14000US17031020400,1687,,17031020400,204,14000US17031020400
21115,14000US17031020500,2097,,17031020500,205,14000US17031020500
21116,14000US17031020601,1793,,17031020601,206.01,14000US17031020601
21117,14000US17031020602,1409,,17031020602,206.02,14000US17031020602
21118,14000US17031020701,658,,17031020701,207.01,14000US17031020701
21119,14000US17031020702,2366,,17031020702,207.02,14000US17031020702
21120,14000US17031020801,1986,,17031020801,208.01,14000US17031020801
21121,14000US17031020802,2116,,17031020802,208.02,14000US17031020802
21122,14000US17031020901,1897,,17031020901,209.01,14000US17031020901
21123,14000US17031020902,1480,,17031020902,209.02,14000US17031020902
21124,14000US17031030101,2266,,17031030101,301.01,14000US17031030101
21125,14000US17031030102,1922,,17031030102,301.02,14000US17031030102
21126,14000US17031030103,1163,,17031030103,301.03,14000US17031030103
21127,14000US17031030104,1210,,17031030104,301.04,14000US17031030104
21128,14000US17031030200,2502,,17031030200,302,14000US17031030200
21129,14000US17031030300,1359,,17031030300,303,14000US17031030300
21130,14000US17031030400,1294,,17031030400,304,14000US17031030400
21131,14000US17031030500,2784,,17031030500,305,14000US17031030500
21132,14000US17031030601,1949,,17031030601,306.01,14000US17031030601
21133,14000US17031030603,1246,,17031030603,306.03,14000US17031030603
21134,14000US17031030604,1881,,17031030604,306.04,14000US17031030604
21135,14000US17031030701,983,,17031030701,307.01,14000US17031030701
21136,14000US17031030702,1020,,17031030702,307.02,14000US17031030702
21137,14000US17031030703,1690,,17031030703,307.03,14000US17031030703
21138,14000US17031030706,2345,,17031030706,307.06,14000US17031030706
21139,14000US17031030800,2085,,17031030800,308,14000US17031030800
